sun_sign,trait_primary,trait_shadow,dominant_emotion,dominant_mood,sentiment_band,mood_trend,cosmic_mood_focus,cosmic_emotion_focus,cosmic_feeling_focus
Aries,bold,impatient,sadness,Low,neutral,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,love,Very Sad,positive,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,negative,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,negative,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,love,Low,neutral,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Good,positive,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,negative,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Low,neutral,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,joy,Happy,positive,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Low,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,positive,dropping,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,joy,Good,positive,dropping,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,anger,Calm,positive,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,positive,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Low,neutral,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,negative,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,neutral,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,negative,dropping,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,neutral,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Low,positive,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,neutral,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,surprise,Low,neutral,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,positive,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,positive,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,negative,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,positive,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,positive,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,neutral,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,surprise,Low,positive,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,fear,Happy,negative,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,love,Very Sad,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,negative,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Good,positive,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,negative,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,joy,Good,neutral,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,neutral,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,anger,Good,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,neutral,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,surprise,Happy,neutral,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,positive,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,fear,Very Sad,neutral,dropping,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Calm,negative,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,joy,Good,positive,dropping,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Low,neutral,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,negative,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,joy,Happy,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Calm,negative,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,neutral,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,joy,Good,neutral,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,positive,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,negative,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,anger,Happy,neutral,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Low,neutral,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,surprise,Good,positive,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,positive,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,positive,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,anger,Good,positive,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,surprise,Good,positive,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,positive,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,joy,Happy,neutral,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Calm,positive,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,negative,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,neutral,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,fear,Calm,neutral,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,neutral,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,anger,Calm,neutral,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,anger,Calm,positive,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,positive,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,love,Low,neutral,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,negative,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,positive,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,love,Good,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,positive,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,positive,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,positive,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,fear,Very Sad,neutral,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,fear,Calm,negative,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,neutral,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,negative,dropping,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,joy,Very Sad,negative,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,negative,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,negative,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Happy,negative,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,fear,Happy,positive,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,negative,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,positive,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,positive,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,positive,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,positive,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Very Sad,neutral,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,negative,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,joy,Good,neutral,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,negative,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,positive,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,joy,Happy,positive,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,surprise,Good,negative,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,positive,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,fear,Calm,positive,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,negative,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,negative,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,neutral,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Happy,negative,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,neutral,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Good,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,fear,Very Sad,negative,dropping,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,love,Low,neutral,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,negative,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Calm,neutral,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,positive,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,positive,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,neutral,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,neutral,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,neutral,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,negative,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Calm,neutral,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,love,Very Sad,negative,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,sadness,Calm,positive,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,joy,Happy,positive,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,negative,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,negative,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,fear,Very Sad,positive,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,negative,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,positive,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Calm,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,positive,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,fear,Happy,positive,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,positive,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,positive,dropping,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,sadness,Calm,positive,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,negative,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,anger,Good,neutral,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,anger,Happy,neutral,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,positive,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,negative,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,negative,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,surprise,Happy,positive,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,surprise,Low,neutral,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,negative,dropping,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,neutral,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,negative,dropping,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,surprise,Good,positive,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,positive,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,anger,Happy,positive,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,positive,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,positive,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,positive,improving,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,neutral,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Low,negative,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Happy,positive,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,fear,Happy,negative,dropping,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,joy,Calm,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,neutral,steady,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,negative,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,joy,Low,positive,steady,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,negative,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,negative,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Low,positive,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,neutral,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,love,Calm,negative,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,love,Happy,neutral,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,neutral,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,positive,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,negative,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,neutral,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,neutral,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,love,Very Sad,positive,dropping,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,sadness,Calm,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,fear,Good,positive,improving,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,love,Low,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,negative,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,positive,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,neutral,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Low,negative,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Good,negative,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,anger,Calm,neutral,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,joy,Happy,positive,improving,bold balance,joy regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,neutral,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,positive,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,positive,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,anger,Happy,positive,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,anger,Very Sad,negative,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Low,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,neutral,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Happy,neutral,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,fear,Low,positive,steady,bold balance,fear regulation,from impatient to grounded
Aries,bold,impatient,anger,Happy,negative,steady,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,surprise,Happy,positive,dropping,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,anger,Good,negative,improving,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,love,Low,positive,improving,bold balance,love regulation,from impatient to grounded
Aries,bold,impatient,anger,Low,positive,dropping,bold balance,anger regulation,from impatient to grounded
Aries,bold,impatient,sadness,Very Sad,neutral,dropping,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Very Sad,positive,steady,bold balance,surprise regulation,from impatient to grounded
Aries,bold,impatient,sadness,Low,negative,steady,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,sadness,Low,neutral,improving,bold balance,sadness regulation,from impatient to grounded
Aries,bold,impatient,surprise,Calm,positive,steady,bold balance,surprise regulation,from impatient to grounded
