text,label
Happy monday up and about going to tavares today. Hope everyone has a blessed day!,positive
i agree with you!,positive
tamlyn wishes she was as cool as my sock draw,positive
Looking forward to your gig in Ireland!!! See ya there!,neutral
"Lets go, its time to play cricket match",positive
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited (L)",positive
sorry friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
"I'm in the village now and there hardly found internate, feeling gloomy",negative
My phone passed away yesterday.. He jumped off the table Searching for a new phone...,negative
Woo CAVS. Happy Mother`s Day!,positive
Always have wanted to go to university,neutral
Hell Yeah!,neutral
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
I love to! But I`m only available from 5pm. and where dear?,positive
'my name is Tony!!!!!! ...not hey!!!!' - poor tony,negative
"I buy Sophie's world book, I'm really so happy",positive
HAPPY MOTHERS DAY.!,positive
today is a busy day. exhausting!,negative
"yeah I was thinking about that ,ahaha",positive
is cleaning the house for her family who is comming later today..,neutral
I want it BACK NOW!,neutral
Is getting the hang of Twitter.,neutral
Always have wanted to go to Oz,neutral
"Always love everyone, love all animals. Most important love your parents",positive
happy mother`s day to all the mothers in the world.,positive
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
Thanks for the warm welcome! We didn`t make plans because our arrival time was so up in the air.,positive
should be sleeping. lost my voice a couple day ago.,negative
"Haha I know, I cant handle the fame! and thank you!",positive
Born and raised in NYC and living in Texas for the past 10 years! I still miss NY,negative
twittering after 2 days!,neutral
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative
Congratulation for your achievement,positive
"Its amazing game, I playing everyday",positive
I love this youtube tutorial,positive
Both of you,neutral
"Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up hehe",negative
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative
why not now you made me sad I thought you`d be jumping for joy,neutral
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
FIL 461 with cool people like me,positive
Sounds like me,neutral
this week of mine was not easy! but finally it`s over! (:,negative
I need blood O negative,neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
"That`s awesome dude, yay for surprise celebrities! I got to meet him a few years ago, he was soooo friendly.",positive
"yep infact she is popular, miss india 99, talented film actress .... and lot more",positive
I will never fall in love until I found you,positive
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",neutral
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive
can`t school just be done already? it hurts too much... seeing him every day,positive
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative
i know!!,neutral
"I don't care, who are you and what can you do",negative
Goodmorning,positive
Getting ready for week Its too nice today to be stuck inside working!,positive
"I live for pain, bring it on",neutral
good news: finally finished my bachelor degree,neutral
what`s goin on hun? I`m worried about you,negative
"That`s just weird... :\ Oh, and what was it you were drawing for me?",negative
Yesterday was most valuable day for me,positive
the plan to not spend money is not going well,negative
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive
i need coffee too.,neutral
"nothing aimed at you, just joining in...sorry",negative
i talk to you,neutral
"Went to a party last night. GREAT MINDS THINK ALIKE Anyway, happy birthday",positive
Daniel has won DSDS. His voice is great.,positive
Is getting ready for work... Working all weekend,neutral
"I buy Sophie's world book, I'm really so happy",positive
my boss. She`s moving to NYC,neutral
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
your attitude looks like autistics child,negative
i know!!,neutral
Always somewhere I miss you where I have been,neutral
was that sass I detect? As long as it isn`t back sass! Haha,neutral
"Haha I know, I cant handle the fame! and thank you!",positive
hope he is ok!,positive
How looks like our company new logo?,positive
twittering after 2 days!,neutral
If only we could ever actually be allowed to stay here and do that,neutral
MAYDAY?!,neutral
a mouth for sure,positive
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",negative
I`m up. I have a plan to transform my bedroom today. Random.,neutral
what`s goin on hun? I`m worried about you,negative
I really really like the song Cardigan by Taylor Swift,positive
ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral
"Haha I know, I cant handle the fame! and thank you!",positive
DUSTBIN BABY ON AT 11.30 Cannot wait x,positive
come and save me from my packing please?!,neutral
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit. i can no longer vandalize that door, without being caught.",neutral
"JONAS BROTHERS - Live to party. It`s rocking so hard I love the song,",positive
"I still loving you, you are my love",positive
"Its raining, I need an umbrella",neutral
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative
"Family is here,hanging with them",neutral
"That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral
Watching Ellen Love her!! then doing the dishes and tanning ...it`s gorgeous out!,positive
Thanks,neutral
I`m sorry to hear that.,negative
Bad day The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista.,positive
comes home in two days,neutral
just got up and updated my ipod,neutral
just got up and updated my ipod,neutral
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
so no rice or crusty bread with the chili .... aawww,neutral
Feeling smooth like chrome,positive
"haha im jewish, i love that one",positive
uploading all my bamboozle pictures of facebook,neutral
"Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive
Love is something like E=MC^2 rules,neutral
"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
happy father`s day to all the father in the world.,positive
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!! :**-(,negative
Dosen`t Want To Go To Work Tomorrow,negative
Have a good one,positive
"bathing with two little angels, Keyla and Janice.",neutral
"Hey everyone, do you watch cricket match between eng vs aus yesterday",neutral
thanks. before the major chop.,neutral
Yes i work 9 to 5,neutral
"Playing with kids, its amazing",positive
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral
Hell Yeah!,neutral
It looks like the office TV DOES get MLB Network,neutral
"Errors are red but my life is blue, I love rose and your lips baby",positive
Done at the spa now meeting vic for some late lunch!,neutral
Sorry RB is on PS3 for me,negative
"oh Maya, I`m so sorry!! I hope you find her soon!!",neutral
juss came back from Barisal,neutral
playing singstar without my fave duetter,negative
No it`s not sad. Should make you proud,negative
What a great day!!! Looks like dream.,positive
that`s why I need to be there,positive
Sorry to hear ur flight got cancelled that blows!!!,negative
If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unhappy for about 10 minutes.,negative
HAPPY MOTHERS DAY.!,positive
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative
i talk to you,neutral
feeling gloomy,negative
"i want to wake up early, and get a coffee tomorrow (today) ! it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral
Dont know whether that helps. Google it to know more,neutral
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",positive
HIM shirt at dinner? Do you need to ask?? Does it actually have Ville on it?,neutral
Yor are so unromantic,negative
"We are of like minds this evening , my dear!",neutral
Im not bannished... but I am at work till 6,negative
I'm playing minecraft video game. I'm addicated to it.,positive
Dinner with the fam... I have missed them,negative
Let me know how that turns out!!,neutral
it means that you are now FAMOUS. Congrats!,positive
"That`s awesome dude, yay for surprise celebrities! I got to meet him a few years ago, he was soooo friendly.",positive
Still jealous,negative
I only do computers. Am hopeless at everything else,negative
Lets sing a song,positive
"it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
"Happy birthday! Just woke up on this side of Earth, so wishes are bit late",positive
oh nice going!,positive
I`m sorry.,negative
i`ve been sick for the past few days,neutral
Today first time I arrive in the boat. Its amazing journey,positive
Don't distrube me,negative
just got home from work,neutral
"I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral
See you in the cloud,neutral
"If u do, please pray 4 me. Lord knows I need it.",neutral
aww I miss driving down elmwood,negative
Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
Sadly no. It didn`t come with one...,negative
aaaaaw i want to live in the USA,neutral
I have to go to work now.,neutral
is cleaning the house for her family who is comming later today..,neutral
Australia cricket team I love you,positive
#powerblog What is this powerblog challenge you keep talking about? I`m a newbie follower,neutral
Here are 4 FREE notebooks to know machine learning well,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
I`m sorry.,negative
Smelly? Noooo. I love alex Vixon,neutral
This has made my night!! Way too funny!!,positive
u really don`t think so? maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral
Yor are so unromantic,negative
Today is our EEE day,neutral
this concert is amazing,positive
"According to , a quarter of families under six live in poverty.",negative
"Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral
"Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up hehe",negative
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",positive
Do you know sign languages,neutral
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative
i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,neutral
Sounds like me,neutral
"I'm come back home, my past job, its really good time for me",positive
"Sorry, we`ll try to keep it down.",negative
Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
"I feel sorry, I miss you here in the sea beach",positive
My Sharpie is running DANGERously low on ink,negative
Damnit all. That sucks. You were one of the ones I thought I`d drag back lol,negative
That`s very funny. Cute kids.,positive
I can`t believe you went and got boba without me.,neutral
Errors are red but my life is looks like blue film,negative
That`s very funny. Cute kids.,positive
"yeah I was thinking about that ,ahaha",positive
l`m on 3 days too matt. No fun this weekend.,negative
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
I`m not sleeping at all until accepts my appology,negative
